title,latitude,longitude,numberKilled,numberInjured
12/31/2015,29.930363,-90.095893,0,5
12/27/2015,35.648603,-88.817619,0,4
12/26/2015,40.014226,-75.121097,0,4
12/25/2015,30.33288,-81.639406,0,4
12/25/2015,30.672995,-88.221673,0,4
12/21/2015,37.709578,-122.134704,0,4
12/20/2015,34.228873,-77.934555,1,4
12/20/2015,25.575356,-80.38683,1,4
12/20/2015,25.927762,-80.186232,0,4
12/14/2015,38.657359,-90.168443,1,3
12/13/2015,34.015883,-118.282585,1,3
12/13/2015,33.711586,-117.990728,0,4
12/12/2015,32.066772,-81.097748,0,4
12/11/2015,39.348288,-76.67506,1,3
12/11/2015,40.415868,-79.987511,0,4
12/8/2015,39.149724,-84.561468,1,3
12/6/2015,29.719339,-90.609323,1,3
12/6/2015,41.313808,-96.081408,2,3
12/2/2015,34.075779,-117.277762,16,19
12/2/2015,32.06022,-81.098102,1,3
11/29/2015,41.119334,-87.857852,0,5
11/27/2015,38.880896,-104.848976,3,9
11/27/2015,38.49496,-121.41035,2,2
11/24/2015,33.870887,-79.140826,0,4
11/23/2015,39.953338,-83.066229,4,1
11/23/2015,45.031289,-93.304653,0,5
11/22/2015,25.951182,-97.489937,0,4
11/22/2015,47.614088,-122.320825,0,4
11/22/2015,29.974803,-90.037167,0,17
11/22/2015,41.500067,-74.016587,0,5
11/22/2015,32.88049,-79.986095,1,3
11/22/2015,41.866141,-87.727619,0,4
11/21/2015,39.30579,-76.641934,1,3
11/20/2015,40.431415,-79.935638,1,3
11/18/2015,36.721409,-119.799863,0,5
11/16/2015,34.231368,-85.691117,3,1
11/15/2015,31.807593,-95.806857,5,0
11/15/2015,40.048265,-75.160207,0,4
11/14/2015,40.343101,-78.883612,0,4
11/13/2015,30.465284,-81.607545,4,1
11/9/2015,39.772875,-86.123048,2,2
11/8/2015,42.451231,-82.983199,0,4
11/8/2015,41.640188,-93.626328,1,3
11/7/2015,39.714798,-104.98997,1,3
11/6/2015,35.350572,-118.98955,0,4
11/3/2015,30.347467,-81.692687,2,3
11/2/2015,34.64737,-82.749033,4,0
10/28/2015,29.595011,-90.730565,1,3
10/27/2015,32.670559,-97.345195,0,5
10/26/2015,37.981724,-87.554473,0,5
10/25/2015,35.364437,-78.357259,0,5
10/25/2015,33.406714,-112.064569,1,4
10/25/2015,38.832724,-76.987965,0,5
10/24/2015,33.30114,-81.033898,0,4
10/22/2015,36.166192,-86.829481,1,3
10/19/2015,41.629428,-87.550872,0,6
10/18/2015,29.977196,-90.011173,0,4
10/17/2015,26.644105,-81.870145,1,4
10/17/2015,41.6903,-85.96689,0,4
10/12/2015,33.736948,-84.224312,0,4
10/10/2015,35.070074,-89.859339,0,6
10/10/2015,35.214263,-80.889749,0,4
10/10/2015,40.717024,-89.601322,1,3
10/9/2015,35.188443,-111.650255,1,3
10/6/2015,39.291946,-76.64889,0,5
10/2/2015,39.346023,-76.688334,1,4
10/1/2015,43.291178,-123.334899,10,9
9/28/2015,39.137404,-84.471991,0,5
9/28/2015,41.818448,-87.63377,3,2
9/28/2015,41.797707,-87.65289,2,3
9/28/2015,39.758466,-84.235796,0,4
9/27/2015,33.03201,-84.726527,0,10
9/27/2015,41.79939,-87.663847,0,4
9/27/2015,39.091355,-94.561926,0,4
9/25/2015,40.140163,-87.60225,0,4
9/24/2015,41.801514,-87.65022,0,5
9/23/2015,32.549079,-93.82412,0,5
9/23/2015,26.647138,-81.84008,0,4
9/23/2015,33.910472,-84.174445,1,3
9/20/2015,40.030698,-75.092983,1,3
9/20/2015,41.79093,-87.629227,1,5
9/20/2015,36.177101,-95.92246,0,6
9/19/2015,39.826373,-86.162803,1,3
9/17/2015,43.349809,-98.603215,6,0
9/17/2015,42.256882,-84.760058,0,4
9/15/2015,40.732115,-74.189258,0,4
9/13/2015,29.16833,-82.138698,1,5
9/12/2015,32.458048,-93.760897,0,4
9/12/2015,43.16442,-77.599349,2,4
9/12/2015,44.980377,-93.273755,0,6
9/12/2015,45.00152,-93.295659,1,3
9/11/2015,35.23918,-80.845663,0,5
9/10/2015,44.907936,-93.544386,5,0
9/8/2015,31.068244,-83.623778,0,4
9/8/2015,41.792475,-87.646332,0,4
9/7/2015,41.597053,-87.225583,2,4
9/7/2015,39.753771,-104.995504,0,4
9/5/2015,35.160742,-80.910608,1,3
9/5/2015,29.213119,-81.029463,0,4
9/5/2015,36.086354,-115.028935,1,3
9/5/2015,38.967697,-92.316553,0,4
8/30/2015,35.149534,-90.04898,1,4
8/29/2015,32.390307,-95.286211,1,3
8/29/2015,36.575685,-82.094305,3,2
8/28/2015,40.659134,-73.960306,1,3
8/27/2015,36.654489,-121.637572,2,2
8/26/2015,45.045917,-93.327092,0,4
8/26/2015,26.731818,-80.059454,2,2
8/26/2015,41.875697,-87.702034,1,3
8/25/2015,29.961775,-90.111194,1,3
8/23/2015,37.645419,-121.023407,1,7
8/22/2015,28.549355,-81.458359,0,4
8/22/2015,33.381637,-104.518212,3,1
8/21/2015,36.029672,-78.877742,0,8
8/21/2015,39.159499,-84.390824,2,5
8/20/2015,26.269515,-98.647246,2,2
8/19/2015,43.140327,-77.63499,3,4
8/16/2015,32.633589,-97.372308,0,6
8/16/2015,41.902459,-87.761159,0,4
8/16/2015,34.658308,-79.69275,0,5
8/15/2015,40.447533,-80.074321,1,3
8/15/2015,33.990953,-118.300201,0,4
8/15/2015,33.479049,-80.909048,1,3
8/10/2015,33.778957,-118.170896,0,4
8/9/2015,32.370807,-89.456666,1,3
8/9/2015,42.424767,-82.965037,1,3
8/9/2015,39.055055,-94.593128,0,4
8/8/2015,35.192406,-81.239762,2,3
8/8/2015,29.919804,-95.451852,8,0
8/8/2015,35.919394,-89.896684,1,11
8/7/2015,44.215725,-72.556396,4,0
8/6/2015,34.012126,-81.013348,0,4
8/4/2015,38.671953,-90.269071,1,4
8/3/2015,40.675587,-74.009583,0,5
8/2/2015,40.665471,-73.86752,0,9
8/2/2015,39.350075,-76.663841,0,7
8/2/2015,41.905088,-87.746087,1,4
8/2/2015,32.063058,-81.100368,0,5
8/2/2015,41.772075,-87.672537,0,4
8/1/2015,28.532374,-81.307914,0,4
7/30/2015,40.458316,-79.888567,0,4
7/27/2015,42.26373,-89.108957,0,5
7/26/2015,39.107105,-94.520188,2,3
7/26/2015,29.988705,-90.035043,0,4
7/25/2015,37.305847,-77.294072,0,4
7/24/2015,42.110819,-80.068169,2,4
7/23/2015,30.201986,-92.045737,3,9
7/22/2015,34.080225,-84.127212,5,0
7/21/2015,25.941074,-80.243394,1,3
7/20/2015,40.821143,-73.92565,0,6
7/19/2015,36.725726,-76.567743,0,4
7/19/2015,38.243635,-85.802421,0,6
7/19/2015,35.945742,-77.761234,0,4
7/18/2015,32.704332,-117.12394,0,4
7/18/2015,34.400857,-119.080499,0,5
7/18/2015,44.948844,-122.991172,1,4
7/18/2015,30.445698,-91.171015,2,2
7/17/2015,41.884834,-87.735933,0,5
7/17/2015,39.143604,-84.578868,0,4
7/16/2015,35.092728,-85.256448,6,2
7/16/2015,32.778665,-96.856619,0,5
7/15/2015,33.768918,-84.463777,0,5
7/15/2015,39.328481,-76.682431,1,3
7/15/2015,41.537633,-81.60186,0,7
7/15/2015,42.362034,-83.211696,0,4
7/15/2015,33.346705,-80.450021,4,1
7/14/2015,38.722723,-90.236054,0,4
7/13/2015,33.884445,-118.077737,0,4
7/13/2015,37.970902,-121.291368,1,4
7/12/2015,41.881871,-87.814993,2,3
7/12/2015,40.731989,-74.070682,0,4
7/7/2015,39.290137,-76.632362,3,1
7/5/2015,32.48011,-93.780403,0,8
7/5/2015,41.073108,-85.118012,0,9
7/5/2015,40.758553,-74.220458,1,3
7/4/2015,38.249025,-85.793664,0,4
7/4/2015,42.454233,-73.260351,1,4
7/4/2015,43.033376,-76.161245,0,4
7/4/2015,29.472001,-98.525993,0,4
7/4/2015,38.856969,-76.991206,1,3
7/2/2015,39.77469,-86.194877,1,3
6/29/2015,25.896705,-80.247688,0,4
6/28/2015,42.41602,-82.990211,0,5
6/28/2015,38.672273,-90.169832,0,6
6/28/2015,38.920992,-75.574825,0,6
6/27/2015,41.894838,-71.091005,1,3
6/27/2015,42.391433,-82.972797,0,4
6/24/2015,40.810748,-73.937305,0,4
